x,y,latitude,transparen,station_vi,longitude,fid,visit_date,color_id
24.394,57.2462,57.246200000000002,1.000000000000000,98325.0,24.393999999999998,217,1998/08/17 13:50:00.000,21.0
24.4067,57.2627,57.262700000000002,0.900000000000000,98326.0,24.406700000000001,218,1998/08/17 14:10:00.000,21.0
24.405,57.3065,57.306500000000000,0.900000000000000,98327.0,24.405000000000001,219,1998/08/17 14:50:00.000,19.0
24.4013,57.3273,57.327300000000001,0.500000000000000,98328.0,24.401299999999999,220,1998/08/17 15:05:00.000,19.0
24.3803,57.493,57.493000000000002,1.400000000000000,98329.0,24.380299999999998,221,1998/08/17 16:35:00.000,15.0
24.3817,57.6263,57.626300000000001,1.700000000000000,98330.0,24.381699999999999,222,1998/08/17 17:35:00.000,15.0
24.3473,57.8698,57.869799999999998,0.900000000000000,98331.0,24.347300000000001,223,1998/08/17 19:10:00.000,15.0
24.3417,57.7647,57.764699999999998,1.400000000000000,98332.0,24.341699999999999,224,1998/08/18 08:55:00.000,21.0
24.3393,57.7438,57.743800000000000,1.600000000000000,98333.0,24.339300000000001,225,1998/08/18 09:25:00.000,21.0
23.85,57.3,57.299999999999997,2.700000000000000,98334.0,23.850000000000001,226,1998/08/24 12:38:00.000,14.0
24.0017,57.0833,57.083300000000001,1.400000000000000,98335.0,24.001700000000000,227,1998/08/24 15:40:00.000,21.0
24.1414,57.0965,57.096499999999999,2.000000000000000,98358.0,24.141400000000001,228,1998/09/07 12:10:00.000,15.0
24.103,57.0833,57.083300000000001,2.200000000000000,98359.0,24.103000000000002,229,1998/09/07 12:40:00.000,15.0
23.9647,57.0235,57.023499999999999,1.800000000000000,98361.0,23.964700000000001,230,1998/09/07 14:20:00.000,15.0
23.8785,56.9945,56.994500000000002,1.700000000000000,98363.0,23.878499999999999,231,1998/09/07 16:25:00.000,15.0
