x,y,latitude,transparency_m,station_vi,longitude,fid,visit_date,color_id,HELCOM_ID,country,level_2,Name,Open_sea,F2_Name,new_area_k,Shape_Leng,Shape_Area
23.4867,57.0467,57.0467,1.9,202103,23.4867,1536,2002/05/10 16:30:00.000,17,LAT-003,Latvia,Gulf of Riga,"Gulf of Riga sandy coast, waterbodies C&E",,"Gulf of Riga sandy coast, waterbodies C&E",387.080162999,296440.220511,1327844259.75
23.705,56.9767,56.9767,2,202104,23.705,1537,2002/05/10 18:15:00.000,13,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07
23.8129,57.0862,57.0862,2,202106,23.8129,1538,2002/05/10 21:35:00.000,17,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07
23.85,57.3,57.3,2.4,202107,23.85,1539,2002/05/11 05:05:00.000,17,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7
23.9333,57.1667,57.1667,2.4,202108,23.9333,1540,2002/05/11 09:10:00.000,13,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07
23.9565,57.1243,57.1243,2.4,202109,23.9565,1541,2002/05/11 10:00:00.000,15,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07
23.8883,57.055,57.055,3,202110,23.8883,1542,2002/05/11 11:45:00.000,13,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07
23.92,57.025,57.025,3.2,202111,23.92,1543,2002/05/11 12:55:00.000,9,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07
23.9683,57.0433,57.0433,4.2,202112,23.9683,1544,2002/05/11 14:10:00.000,9,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07
23.9792,57.0737,57.0737,1.9,202113,23.9792,1545,2002/05/11 15:25:00.000,19,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07
24.0017,57.0833,57.0833,3.1,202119,24.0017,1546,2002/05/14 15:00:00.000,13,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07
23.9683,57.0433,57.0433,2.8,202120,23.9683,1547,2002/05/14 16:15:00.000,13,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07
24.1066,57.0862,57.0862,1.8,202123,24.1066,1548,2002/05/15 09:25:00.000,17,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07
24.0842,57.081,57.081,1.7,202125,24.0842,1549,2002/05/15 10:25:00.000,17,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07
24.0347,57.07,57.07,1.3,202128,24.0347,1550,2002/05/15 12:00:00.000,17,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07
